Facility_uid,Facility Code:,State Unique ID:,Registration No:,Facility Name:,Alternate Name:,Start Date:,Ownership:,Ownership Type:,Facility Level:,Facility Level Option:,Days of Operation:,Hours of Operation:,State:,LGA:,Ward:, Physical Location:,Postal Address:,Longitude:,Latitude:,Phone Number:,Alternate Number:,Email Address:,Website:,Operational Status:,Registration Status:,License Status:,Out Patient Services:,In Patient Services:,Medical Services:,Surgical Services:,Obsterics and Gynecology Services:,Pediatrics Services:,Dental Services:,Specific Clinical Services:,Total number of Beds:,Onsite Laboratory:,Onsite Imaging:,Onsite Pharmacy:,Mortuary Services:,Ambulance Services:,Number of Doctors:,Number of Pharmacists:,Number Pharmacy Technicians:,Number of Dentists:,Number of Dental Technicians:,Number of Nurses:,Number of Midwifes:,Number of Nurses/Midwifes:,Number of Lab Technicians:,Number of Lab Scientits:,Health Records/HIM Officers:,Number of Community Health Officer:,Number of Community Health Extension Worker:,Number of Junior Com Health Extension Worker:,Number of Environmental Health Officers:,Number of Health Attendant/Assistant:
19179314,24/01/1/1/2/0019,,,Neimeth Staff Clinic,,1998-06-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday",8AM TO 4PM,Lagos,Agege,Dopemu,"NO1,HENRY CARRY STREET IKEJA",,3.32985,6.61098,0708-956-3211,,,,Operational,Registered,Licensed,Yes,,,,,,,,2,,,Yes,,No,1,,,,,,,1,,,,,,,,
68217197,24/01/1/1/2/0019,,,Neimeth Staff Clinic,,1998-06-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday",8AM TO 4PM,Lagos,Agege,Dopemu,"NO1,HENRY CARRY STREET IKEJA",,3.32985,6.61098,0708-956-3211,,,,Operational,Registered,Licensed,Yes,,Family Medicine ,,,,,Non Communicable Diseases Communicable Diseases Accidents and Emergency ,2,,,Yes,,No,1,,,,,,,1,,,,,,,,
31895196,24/01/1/1/2/0029,2401120085,,Sikiratullah Medical Clinic,,2016-02-06,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Dopemu,"NO8,ENILOBO STREET DOPEMU",,3.31011,6.61255,0814-375-6336,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,5,,,,,No,1,,,,,1,,1,,,,,,,,3
82680028,24/01/1/1/2/0029,2401120085,,Sikiratullah Medical Clinic,,2016-02-06,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Dopemu,"NO8,ENILOBO STREET DOPEMU",,3.31011,6.61255,0814-375-6336,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,,Obstetrics ,,,Antenatal Care (ANC) HIV/ AIDS Services Non Communicable Diseases Family Planning Accidents and Emergency ,5,,,,,No,1,,,,,1,,1,,,,,,,,3
49296852,24/01/1/1/2/0007,2401120017,,Country Home Clinic,,1996-01-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Isale Odo,"NO19,OLD OTTA ROAD AGEGE",,3.30925,6.63049,0802-337-0282,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,4,,,Yes,,No,1,,,,,,,1,1,1,,,,,,2
56016246,24/01/1/1/2/0007,2401120017,,Country Home Clinic,,1996-01-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Isale Odo,"NO19,OLD OTTA ROAD AGEGE",,3.30925,6.63049,0802-337-0282,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Non Communicable Diseases Family Planning Communicable Diseases Hepatitis Accidents and Emergency Nutrition Maternal and newborn care Scanning ,4,,,Yes,,No,1,,,,,,,1,1,1,,,,,,2
25366892,24/01/1/1/1/0003,2401110024,,Iloro Primary Health Centre,,1980-01-01,Public,Local Government,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday",8HRS,Lagos,Agege,Isale Oja,"NO5,OLUFESO STREET ILORO AGEGE",,3.32294,6.61131,0802-245-5913,,,,Operational,Registered,Licensed,Yes,,,,,,,,9,Yes,,Yes,,No,,,,,,,,1,,,,1,1,,,2
55470431,24/01/1/1/1/0003,2401110024,,Iloro Primary Health Centre,,1980-01-01,Public,Local Government,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday",8HRS,Lagos,Agege,Isale Oja,"NO5,OLUFESO STREET ILORO AGEGE",,3.32294,6.61131,0802-245-5913,,,,Operational,Registered,Licensed,Yes,,,,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Communicable Diseases Hepatitis Child Survival Nutrition Health Education and Community Mobilization Maternal and newborn care ,9,Yes,,Yes,,No,,,,,,,,1,,,,1,1,,,2
47293825,24/01/1/1/2/0024,2401120021,,Prime Health Gate Medicare,,2008-02-04,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Isale Oja,"NO 9, Capitol Road Agege",,3.32698,6.61432,0802-313-9027,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,7,Yes,,Yes,,Yes,2,,1,2,,1,2,3,1,,,1,1,,,2
49985730,24/01/1/1/2/0024,2401120021,,Prime Health Gate Medicare,,2008-02-04,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Isale Oja,"NO 9, Capitol Road Agege",,3.32698,6.61432,0802-313-9027,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,General Surgery ,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Non Communicable Diseases Family Planning Communicable Diseases Accidents and Emergency Nutrition ,7,Yes,,Yes,,Yes,2,,1,2,,1,2,3,1,,,1,1,,,2
77727175,24/01/1/2/2/0026,2401120019,,St Victoria Maternity Home,,1992-01-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Isale Oja,"NO 97,CAPITOL ROAD AGEGE LAGOS",,3.321107,6.61731,0805-514-1765,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,10,Yes,,Yes,,Yes,2,1,1,,,2,2,3,1,1,,1,3,,,
58886840,24/01/1/2/2/0026,2401120019,,St Victoria Maternity Home,,1992-01-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Isale Oja,"NO 97,CAPITOL ROAD AGEGE LAGOS",,3.321107,6.61731,0805-514-1765,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,General Surgery ,Obstetrics Gynecology ,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Intensive Care Services  Communicable Diseases Hepatitis Child Survival Accidents and Emergency Maternal and newborn care Scanning ,10,Yes,,Yes,,Yes,2,1,1,,,2,2,3,1,1,,1,3,,,
54468532,24/01/1/1/1/0008,2401110029,,Sango Primary Health Centre,,1950-01-01,Public,Local Government,Primary,Primary Health Center,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Keke,"NO 1,Balogun Street Agege",,3.32518,6.62579,0802-316-7734,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,13,Yes,,Yes,,Yes,3,1,2,3,,2,1,3,3,1,3,2,3,1,4,12
45371375,24/01/1/1/1/0008,2401110029,,Sango Primary Health Centre,,1950-01-01,Public,Local Government,Primary,Primary Health Center,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Keke,"NO 1,Balogun Street Agege",,3.32518,6.62579,0802-316-7734,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Communicable Diseases Hepatitis Child Survival Accidents and Emergency Nutrition Health Education and Community Mobilization Maternal and newborn care ,13,Yes,,Yes,,Yes,3,1,2,3,,2,1,3,3,1,3,2,3,1,4,12
44526288,24/01/1/1/2/0013,2401110062,,Kwa Kwa Uku Primary Health Centre,,2015-01-01,Public,Local Government,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday",8HRS,Lagos,Agege,Kwakwa Uku,"NO 3,AKERELE STREET AGEGE",,3.32358,6.62098,,,,,Operational,Registered,Licensed,Yes,,,,,,,,4,Yes,,Yes,,No,,,1,,,,,1,1,,,,2,,,2
57431672,24/01/1/1/2/0013,2401110062,,Kwa Kwa Uku Primary Health Centre,,2015-01-01,Public,Local Government,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday",8HRS,Lagos,Agege,Kwakwa Uku,"NO 3,AKERELE STREET AGEGE",,3.32358,6.62098,,,,,Operational,Registered,Licensed,Yes,,,,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Non Communicable Diseases Family Planning Communicable Diseases Child Survival Health Education and Community Mobilization ,4,Yes,,Yes,,No,,,1,,,,,1,1,,,,2,,,2
28691333,24/01/1/2/2/0029,24010220088,,Adewunmi Hospital,,2017-04-07,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oke Koto,"NO12,OLURINDE STREET AGEGE LAGOS",,3.31291,6.62963,0903-264-4728,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,6,Yes,,Yes,,No,2,,,,,2,,1,,,,,,,,1
45884600,24/01/1/2/2/0029,24010220088,,Adewunmi Hospital,,2017-04-07,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oke Koto,"NO12,OLURINDE STREET AGEGE LAGOS",,3.31291,6.62963,0903-264-4728,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,General Surgery ,,,,Antenatal Care (ANC) Immunization Tuberculosis Non Communicable Diseases Family Planning Intensive Care Services  Communicable Diseases Accidents and Emergency ,6,Yes,,Yes,,No,2,,,,,2,,1,,,,,,,,1
60017996,24/01/1/1/2/0016,2401220036,,Methodist Church Clinic,,2004-01-11,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oke Koto,"N0 8,ORILE ROAD TABON TABON AGEGE LAGOS",,3.319600,6.631400,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,3,,,Yes,,No,1,,,,,1,,1,,,,,,,,2
32925525,24/01/1/1/2/0016,2401220036,,Methodist Church Clinic,,2004-01-11,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oke Koto,"N0 8,ORILE ROAD TABON TABON AGEGE LAGOS",,3.319600,6.631400,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,Antenatal Care (ANC) Immunization Non Communicable Diseases Communicable Diseases ,3,,,Yes,,No,1,,,,,1,,1,,,,,,,,2
53799971,24/01/1/2/2/0027,,,Today Medicare Centre,,2012-01-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oke Koto,"NO37,OWOLABI OMOTOYE STREET,OFF IYANA IPAJA ORILE AGEGE",,3.31207,6.62641,0809-621-8363,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,8,Yes,,Yes,,No,1,,,,,,,2,,,,1,2,,,4
71805659,24/01/1/2/2/0027,,,Today Medicare Centre,,2012-01-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oke Koto,"NO37,OWOLABI OMOTOYE STREET,OFF IYANA IPAJA ORILE AGEGE",,3.31207,6.62641,0809-621-8363,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,General Surgery ,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Intensive Care Services  Communicable Diseases Accidents and Emergency ,8,Yes,,Yes,,No,1,,,,,,,2,,,,1,2,,,4
59616342,24/01/1/1/1/0006,24010110037,,Powerline Primary Health Centre,,1979-02-01,Public,Local Government,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday",8HRS,Lagos,Agege,Orile (Agege),"3,POWERLINE STREET OKO OBA ORILE AGEGE",,3.31021,6.63306,0802-837-4034,,,,Operational,Registered,Licensed,Yes,,,,,,,,6,Yes,,Yes,,Yes,,,1,,,,,2,1,,1,2,1,,2,4
68252201,24/01/1/1/1/0006,24010110037,,Powerline Primary Health Centre,,1979-02-01,Public,Local Government,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday",8HRS,Lagos,Agege,Orile (Agege),"3,POWERLINE STREET OKO OBA ORILE AGEGE",,3.31021,6.63306,0802-837-4034,,,,Operational,Registered,Licensed,Yes,,,,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Communicable Diseases Hepatitis Child Survival Nutrition Health Education and Community Mobilization ,6,Yes,,Yes,,Yes,,,1,,,,,2,1,,1,2,1,,2,4
36964560,24/01/1/1/2/0030,,,Soretire Primary Health Care Centre,,2011-01-01,Public,Local Government,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",08;00AM -4P,Lagos,Agege,Orile (Agege),"N019,Azeez Olaosebikan Street  Agege Lagos",,3.30656,6.63638,0802-882-3230,,,,Operational,Registered,Licensed,Yes,,,,,,,,12,Yes,,Yes,,No,,,2,,,,,4,1,,1,1,1,,1,6
82621925,24/01/1/1/2/0030,,,Soretire Primary Health Care Centre,,2011-01-01,Public,Local Government,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",08;00AM -4P,Lagos,Agege,Orile (Agege),"N019,Azeez Olaosebikan Street  Agege Lagos",,3.30656,6.63638,0802-882-3230,,,,Operational,Registered,Licensed,Yes,,Family Medicine ,,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Communicable Diseases Hepatitis Accidents and Emergency Nutrition Health Education and Community Mobilization Maternal and newborn care ,12,Yes,,Yes,,No,,,2,,,,,4,1,,1,1,1,,1,6
40663925,24/01/1/2/2/0005,24010120047,,Biobatam Hospital,,1999-12-02,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oyewole,"NO 53, TIJANI STREET IYANA IPAJA AGEGE LAGOS",,3.30488,6.62064,0802-333-2993,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,8,Yes,,Yes,Yes,Yes,2,1,1,,,1,1,,1,1,1,,,,,2
63899727,24/01/1/2/2/0005,24010120047,,Biobatam Hospital,,1999-12-02,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oyewole,"NO 53, TIJANI STREET IYANA IPAJA AGEGE LAGOS",,3.30488,6.62064,0802-333-2993,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,General Surgery ,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Intensive Care Services  Communicable Diseases Hepatitis Child Survival Accidents and Emergency Nutrition Health Education and Community Mobilization Maternal and newborn care Scanning ,8,Yes,,Yes,Yes,Yes,2,1,1,,,1,1,,1,1,1,,,,,2
40580114,24/01/1/1/1/0004,24010110048,,Odunbaku Primary Health Centre,,2011-08-07,Public,Local Government,Primary,Primary Health Center,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oyewole,"NO36,OPEOLU STREET ,MULERO BUSTOP ORILE AGEGE",,3.30799,6.62285,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,5,Yes,,Yes,,No,5,,2,,,1,,1,1,1,2,,3,,,16
73227888,24/01/1/1/1/0004,24010110048,,Odunbaku Primary Health Centre,,2011-08-07,Public,Local Government,Primary,Primary Health Center,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oyewole,"NO36,OPEOLU STREET ,MULERO BUSTOP ORILE AGEGE",,3.30799,6.62285,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Intensive Care Services  Communicable Diseases Hepatitis Accidents and Emergency Nutrition ,5,Yes,,Yes,,No,5,,2,,,1,,1,1,1,2,,3,,,16
54432984,24/01/1/2/2/0028,24010220045,301258,Veta Hospital,,1996-05-10,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oyewole,"NO134,VETA CLOSE, ARAROMI EXPRESS ROAD AGEGE LAGOS",,3.30474,6.61468,0701-758-5852,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,13,Yes,,Yes,,Yes,4,1,2,,,3,3,2,2,1,,,2,,,7
26245049,24/01/1/2/2/0028,24010220045,301258,Veta Hospital,,1996-05-10,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Oyewole,"NO134,VETA CLOSE, ARAROMI EXPRESS ROAD AGEGE LAGOS",,3.30474,6.61468,0701-758-5852,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,General Surgery ,Obstetrics Gynecology ,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Intensive Care Services  Communicable Diseases Hepatitis Child Survival Accidents and Emergency Nutrition Health Education and Community Mobilization Maternal and newborn care ,13,Yes,,Yes,,Yes,4,1,2,,,3,3,2,2,1,,,2,,,7
32764277,24/01/1/1/2/0015,,,Mercy & Glory Convalescent Centre,,2012-01-04,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Papa Ashafa,"NO 49,ABIODUN SADIKU STREET DOPEMU AGEGE",,3.30876,6.61368,0803-395-8718,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,4,Yes,,Yes,,No,2,,1,,,3,,,1,,,,,,,3
16881499,24/01/1/1/2/0015,,,Mercy & Glory Convalescent Centre,,2012-01-04,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Papa Ashafa,"NO 49,ABIODUN SADIKU STREET DOPEMU AGEGE",,3.30876,6.61368,0803-395-8718,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,General Surgery ,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Non Communicable Diseases Family Planning Communicable Diseases Accidents and Emergency Nutrition ,4,Yes,,Yes,,No,2,,1,,,3,,,1,,,,,,,3
18545103,24/01/1/1/1/0068,,,Mucas Hospital,,1989-01-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Papa Ashafa,"NO 19,OGUN STREET ADEALU BUS STOP IYANA IPAJA AGEGE",,3.31245,6.634241,,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,15,Yes,Yes,Yes,No,Yes,6,1,3,,1,4,2,2,3,1,,3,4,,,6
48570771,24/01/1/1/1/0068,,,Mucas Hospital,,1989-01-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Papa Ashafa,"NO 19,OGUN STREET ADEALU BUS STOP IYANA IPAJA AGEGE",,3.31245,6.634241,,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,General Surgery ,Obstetrics Gynecology ,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Intensive Care Services  Communicable Diseases Hepatitis Child Survival Accidents and Emergency Nutrition Maternal and newborn care Scanning ,15,Yes,Yes,Yes,No,Yes,6,1,3,,1,4,2,2,3,1,,3,4,,,6
